county,label,area_km2,facility_count,exposed_count,exposed_1km,criticality_weighted_exposure,karst_count,karst_density_km2,assignment_method,H_norm,E_norm,C_norm,KHI_Base,KHI_Hazard-led,KHI_Exposure-led,KHI_Critical-facility
Lehigh,Allentown,47.397,55,51,55,25.474999999999998,349,7.3633352321876915,municipality polygon,0.10904659737121669,1.0,1.0,64.36,46.54,77.73,73.27
Lehigh,Lower Macungie,35.742,12,10,12,6.569999999999999,2016,56.4042303172738,municipality polygon,0.8353129661344676,0.19607843137254902,0.2578999018645731,46.41,58.89,36.52,40.95
Lehigh,Hanover,11.655,5,5,5,3.06,787,67.52466752466754,municipality polygon,1.0,0.09803921568627451,0.12011776251226694,46.32,64.25,32.68,37.64
Lehigh,South Whitehall,36.001,16,16,16,7.335,1248,34.66570373045193,municipality polygon,0.5133783697311527,0.3137254901960784,0.28792934249263985,38.84,42.96,35.98,36.46
Lehigh,Upper Macungie,62.16,7,7,7,4.5249999999999995,2990,48.10167310167311,municipality polygon,0.7123570520965692,0.13725490196078433,0.1776251226692836,37.54,48.84,28.71,32.39
Berks,Maxatawny,68.376,6,6,6,2.9299999999999997,3407,49.82742482742482,municipality polygon,0.7379144045281273,0.11764705882352941,0.11501472031403337,36.52,48.94,27.23,30.28
Berks,Lyons,1.036,2,2,2,1.39,58,55.98455598455598,municipality polygon,0.829097839898348,0.0392156862745098,0.05456329735034347,35.82,51.54,23.9,28.16
Lehigh,Macungie,2.072,2,1,2,0.52,117,56.46718146718147,municipality polygon,0.8362452350698856,0.0196078431372549,0.02041216879293425,34.64,50.97,22.39,26.49
Berks,Richmond,61.901,7,6,6,4.279999999999999,2462,39.77318621670086,municipality polygon,0.5890171351405952,0.11764705882352941,0.16800785083415112,31.63,40.8,24.3,27.67
Bucks,Riegelsville,1.295,1,1,1,0.63,65,50.1930501930502,municipality polygon,0.7433290978398983,0.0196078431372549,0.024730127576054958,31.01,45.46,20.13,23.85
Berks,Ontelaunee,24.087,4,4,4,2.485,981,40.72736330800847,municipality polygon,0.6031479280239372,0.0784313725490196,0.09754661432777233,29.21,39.61,21.25,24.25
Lehigh,Whitehall,25.9,18,16,18,9.31,346,13.35907335907336,municipality polygon,0.19783989834815754,0.3137254901960784,0.3654563297350344,27.77,25.2,29.25,29.71
Berks,Topton,1.813,2,2,2,1.4,70,38.610038610038615,municipality polygon,0.5717916137229987,0.0392156862745098,0.0549558390578999,25.54,36.11,17.47,20.45
Berks,Fleetwood,1.813,5,4,5,2.08,59,32.54274682846111,municipality polygon,0.48193864585224166,0.0784313725490196,0.081648675171737,24.05,32.1,17.98,20.06
Berks,Maidencreek,34.706,3,3,3,1.21,1175,33.855817437906985,municipality polygon,0.5013844374063606,0.058823529411764705,0.04749754661432778,23.36,32.27,16.78,18.76
